# Node.js 6.1.0 on Darwin 64-bit

date,suite,bench,elapsed,iterations,ops
2016-05-15 21:49:36,"emit arrays","EventEmitter",880.949162,1627454,1847387
2016-05-15 21:49:36,"emit arrays","EventEmitter2",568.875050,425058,747190
2016-05-15 21:49:36,"emit arrays","EventEmitter3",699.948819,2943958,4205962
2016-05-15 21:49:36,"emit arrays","RXJS",671.593557,621492,925399
2016-05-15 21:49:36,"emit arrays","ReactiveProperty",835.331893,4216501,5047695
2016-05-15 21:49:36,"emit arrays","JS-Signals",616.138984,104342,169348
2016-05-15 21:49:36,"emit arrays","MiniSignals",690.409847,5029964,7285475
2016-05-15 21:49:36,"emit arrays","signal-emitter",501.964374,118857,236784
2016-05-15 21:49:36,"emit arrays","event-signal",847.422287,1748325,2063110
2016-05-15 21:49:36,"emit arrays","signal-lite",705.626226,4778558,6772081
2016-05-15 21:49:36,"*emit arrays*","Theoretical max",681.711766,10255854,15044267

2016-05-15 21:50:02,"emit objects","EventEmitter",753.356247,2826545,3751937
2016-05-15 21:50:02,"emit objects","EventEmitter2",934.132976,1564854,1675194
2016-05-15 21:50:02,"emit objects","EventEmitter3",644.218919,3083849,4786958
2016-05-15 21:50:02,"emit objects","RXJS",753.799806,1091950,1448594
2016-05-15 21:50:02,"emit objects","ReactiveProperty",754.168970,4261432,5650500
2016-05-15 21:50:02,"emit objects","JS-Signals",924.153282,133994,144991
2016-05-15 21:50:02,"emit objects","MiniSignals",699.812449,5196228,7425172
2016-05-15 21:50:02,"emit objects","signal-emitter",541.538755,136891,252782
2016-05-15 21:50:02,"emit objects","event-signal",815.398350,1674532,2053637
2016-05-15 21:50:02,"emit objects","signal-lite",717.530612,4127037,5751723
2016-05-15 21:50:02,"*emit objects*","Theoretical max",765.908908,8378584,10939400
